x,y,radiation
-6.0146,14.5313,4.88
-6.0146,15.0324,4.85
-6.0146,15.5335,4.89
-6.0146,16.0345,4.89
-6.0146,16.5356,4.85
-6.0146,17.0367,4.84
-6.0146,17.5378,4.83
-6.0146,18.0389,4.81
-6.0146,18.5399,4.89
-6.0146,19.041,4.88
-6.0146,19.5421,4.85
-6.0146,20.0432,4.73
-6.0146,20.5443,4.71
-6.0146,21.0453,4.72
-6.0146,21.5464,4.63
-6.0146,22.0475,4.61
-6.0146,22.5486,4.58
-6.0146,23.0497,4.55
-6.0146,23.5507,4.51
-6.0146,24.0518,4.43
-6.0146,24.5529,4.28
-6.0146,25.054,4.17
-6.0146,25.5551,3.96
-6.0146,26.0561,3.74
-6.0146,26.5572,3.48
-6.0146,27.0583,3.25
-6.0146,27.5594,2.89
-6.5159,0.0,5.07
-6.5159,0.5011,5.07
-6.5159,1.0022,5.06
-6.5158,1.5033,5.03
-6.5158,2.0043,5.03
-6.5158,2.5054,5.03
-6.5158,3.0065,5.05
-6.5158,3.5076,5.05
-6.5158,4.0086,4.96
-6.5158,4.5097,4.95
-6.5158,5.0108,4.97
-6.5158,5.5119,4.96
-6.5158,6.013,4.97
-6.5158,6.514,4.97
-6.5158,7.0151,4.96
-6.5158,7.5162,4.97
-6.5158,8.0173,4.97
-6.5158,8.5184,4.96
-6.5158,9.0194,4.95
-6.5158,9.5205,4.94
-6.5158,10.0216,5.01
-6.5158,10.5227,5.01
-6.5158,11.0238,5.01
-6.5158,11.5248,4.95
-6.5158,12.0259,4.97
-6.5158,12.527,4.96
-6.5158,13.0281,4.96
-6.5158,13.5292,4.90
-6.5158,14.0302,4.90
-6.5158,14.5313,4.90
-6.5158,15.0324,4.92
-6.5158,15.5335,4.91
-6.5158,16.0345,4.87
-6.5158,16.5356,4.86
-6.5158,17.0367,4.85
-6.5158,17.5378,4.84
-6.5158,18.0389,4.83
-6.5158,18.5399,4.90
-6.5158,19.041,4.89
-6.5158,19.5421,4.80
-6.5158,20.0432,4.78
-6.5158,20.5443,4.78
-6.5158,21.0453,4.77
-6.5158,21.5464,4.67
-6.5158,22.0475,4.65
-6.5158,22.5486,4.62
-6.5158,23.0497,4.59
-6.5158,23.5507,4.55
-6.5158,24.0518,4.40
-6.5158,24.5529,4.32
-6.5158,25.054,4.15
-6.5158,25.5551,4.02
-6.5158,26.0561,3.76
-6.5158,26.5572,3.53
-6.5158,27.0583,3.27
-6.5158,27.5594,2.86
-7.0171,0.0,5.08
-7.0171,0.5011,5.07
-7.0171,1.0022,5.05
-7.0171,1.5033,5.04
-7.0171,2.0043,5.04
-7.0171,2.5054,5.06
-7.0171,3.0065,5.06
-7.0171,3.5076,5.05
-7.0171,4.0086,4.97
-7.0171,4.5097,4.97
-7.0171,5.0108,4.97
-7.0171,5.5119,4.98
-7.0171,6.013,4.98
-7.0171,6.514,4.97
-7.0171,7.0151,5.00
-7.0171,7.5162,4.99
-7.0171,8.0173,4.98
-7.0171,8.5184,4.99
-7.0171,9.0194,4.99
-7.0171,9.5205,5.02
-7.0171,10.0216,5.02
-7.0171,10.5227,5.02
-7.0171,11.0238,4.99
-7.0171,11.5248,4.98
-7.017,12.0259,4.92
-7.017,12.527,4.91
-7.017,13.0281,4.91
-7.017,13.5292,4.98
-7.017,14.0302,4.98
-7.017,14.5313,4.94
-7.017,15.0324,4.93
-7.017,15.5335,4.92
-7.017,16.0345,4.96
-7.017,16.5356,4.96
-7.017,17.0367,4.85
-7.017,17.5378,4.85
-7.017,18.0389,4.84
-7.017,18.5399,4.92
-7.017,19.041,4.91
-7.017,19.5421,4.81
-7.017,20.0432,4.80
-7.017,20.5443,4.79
-7.017,21.0453,4.78
-7.017,21.5464,4.76
-7.017,22.0475,4.68
-7.017,22.5486,4.64
-7.017,23.0497,4.58
-7.017,23.5507,4.53
-7.017,24.0518,4.43
-7.017,24.5529,4.35
-7.017,25.054,4.17
-7.017,25.5551,3.97
-7.017,26.0561,3.79
-7.017,26.5572,3.51
-7.017,27.0583,3.28
-7.017,27.5594,2.88
-7.5183,0.0,5.07
-7.5183,0.5011,5.07
-7.5183,1.0022,5.06
-7.5183,1.5033,5.04
-7.5183,2.0043,5.04
-7.5183,2.5054,5.04
-7.5183,3.0065,5.03
-7.5183,3.5076,5.01
-7.5183,4.0086,4.99
-7.5183,4.5097,4.97
-7.5183,5.0108,4.96
-7.5183,5.5119,5.02
-7.5183,6.013,5.02
-7.5183,6.514,5.01
-7.5183,7.0151,5.01
-7.5183,7.5162,4.99
-7.5183,8.0173,4.99
-7.5183,8.5184,5.00
-7.5183,9.0194,5.00
-7.5183,9.5205,4.99
-7.5183,10.0216,4.98
-7.5183,10.5227,4.97
-7.5183,11.0238,5.00
-7.5183,11.5248,4.97
-7.5183,12.0259,4.93
-7.5183,12.527,4.92
-7.5183,13.0281,5.00
-7.5183,13.5292,4.99
-7.5183,14.0302,4.97
-7.5183,14.5313,4.94
-7.5183,15.0324,4.94
-7.5183,15.5335,4.96
-7.5183,16.0346,4.97
-7.5183,16.5356,4.97
-7.5183,17.0367,4.95
-7.5183,17.5378,4.94
-7.5183,18.0389,4.93
-7.5183,18.5399,4.94
-7.5183,19.041,4.92
-7.5183,19.5421,4.83
-7.5183,20.0432,4.83
-7.5183,20.5443,4.85
-7.5182,21.0453,4.82
-7.5183,21.5464,4.80
-7.5182,22.0475,4.77
-7.5182,22.5486,4.66
-7.5182,23.0497,4.60
-7.5182,23.5507,4.54
-7.5182,24.0518,4.49
-7.5182,24.5529,4.37
-7.5182,25.054,4.17
-7.5182,25.5551,4.01
-7.5182,26.0561,3.81
-7.5182,26.5572,3.50
-7.5182,27.0583,3.29
-7.5182,27.5594,2.85
-8.0195,0.0,5.08
-8.0195,0.5011,5.07
-8.0195,1.0022,5.06
-8.0195,1.5033,5.05
-8.0195,2.0043,5.04
-8.0195,2.5054,5.04
-8.0195,3.0065,5.03
-8.0195,3.5076,5.02
-8.0195,4.0087,5.02
-8.0195,4.5097,5.04
-8.0195,5.0108,5.03
-8.0195,5.5119,5.03
-8.0195,6.013,5.03
-8.0195,6.514,5.01
-8.0195,7.0151,4.99
-8.0195,7.5162,4.99
-8.0195,8.0173,4.99
-8.0195,8.5184,4.99
-8.0195,9.0194,5.03
-8.0195,9.5205,5.02
-8.0195,10.0216,5.00
-8.0195,10.5227,4.98
-8.0195,11.0238,4.97
-8.0195,11.5248,4.98
